Symbol,Company,Sector,Subsector,Headquarters,CIK,DateFirstAdded,Source
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",86312,,Wikipedia
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",916365,,Wikipedia
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",1318605,,Wikipedia
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",100493,,Wikipedia
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",1466258,,Wikipedia
TTD,Trade Desk (The),Communication Services,Advertising,"Ventura, California",1671933,,Wikipedia
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",946581,,Wikipedia
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",97476,,Wikipedia
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",217346,,Wikipedia
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",860731,,Wikipedia
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",100517,,Wikipedia
UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",1543151,,Wikipedia
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",74208,,Wikipedia
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",352915,,Wikipedia
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",1403568,,Wikipedia
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",731766,,Wikipedia
UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",100885,,Wikipedia
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",1090727,,Wikipedia
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",1067701,,Wikipedia
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",36104,,Wikipedia
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",1403161,,Wikipedia
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",1705696,,Wikipedia
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",1035002,,Wikipedia
VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",1967680,,Wikipedia
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",1396009,,Wikipedia
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",1442145,,Wikipedia
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",1014473,,Wikipedia
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",875320,,Wikipedia
VST,Vistra Corp.,Utilities,Electric Utilities,"Irving, Texas",1692819,,Wikipedia
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",740260,,Wikipedia
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",1792044,,Wikipedia
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",732712,,Wikipedia
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",943452,,Wikipedia
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",1000697,,Wikipedia
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",1437107,,Wikipedia
WDAY,"Workday, Inc.",Information Technology,Application Software,"Pleasanton, California",1327811,,Wikipedia
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",106040,,Wikipedia
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",783325,,Wikipedia
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",766704,,Wikipedia
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",72971,,Wikipedia
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",823768,,Wikipedia
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",107263,,Wikipedia
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",104169,,Wikipedia
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",11544,,Wikipedia
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,"San Francisco, California",719955,,Wikipedia
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",105770,,Wikipedia
